Job Type,salary_minimum,salary_maximum,salary_band,salary_range,qualification_level,sector,role_category
Government,,,,,undergraduate,Government General,Assistant
Government,85000.0,500000.0,High,415000.0,postgraduate,Banking,Officer
Government,,,,,undergraduate,Banking,Assistant
Government,38000.0,38000.0,Medium,0.0,undergraduate,PSU,Managerial
Government,65000.0,65000.0,Medium,0.0,undergraduate,Judiciary,Research
Government,80000.0,100000.0,High,20000.0,undergraduate,Government General,Officer
Government,,,,,undergraduate,Banking,Other
Government,56100.0,144200.0,Medium,88100.0,postgraduate,Education,Other
Government,234583.3333333333,234583.3333333333,Very High,0.0,postgraduate,Banking,Other
Government,47000.0,47000.0,Medium,0.0,postgraduate,Government General,Officer
Government,35400.0,35400.0,Medium,0.0,undergraduate,Government Admin,Other
Government,144200.0,144200.0,High,0.0,postgraduate,Education,Officer
Government,,,,,undergraduate,Banking,Officer
Government,56100.0,218200.0,Medium,162100.0,postgraduate,Education,Other
Government,,,,,undergraduate,Government General,Managerial
Government,100000.0,100000.0,High,0.0,undergraduate,Government General,Officer
Government,25000.0,25000.0,Low,0.0,postgraduate,Education,Research
Government,36200.0,114800.0,Medium,78600.0,doctorate,Government Admin,Officer
Government,,,,,undergraduate,Government General,Managerial
Government,,,,,undergraduate,PSU,Managerial
Government,10000.0,12500.0,Low,2500.0,undergraduate,Government General,Entry Level
Government,18000.0,18000.0,Low,0.0,undergraduate,Education,Other
Government,45000.0,45000.0,Medium,0.0,undergraduate,Government General,Engineer
Government,72000.0,80000.0,High,8000.0,undergraduate,Government General,Engineer
Government,19900.0,142400.0,Low,122500.0,undergraduate,Education,Managerial
Government,20000.0,54000.0,Low,34000.0,doctorate,Education,Academic
Government,,,,,undergraduate,Education,Associate
Government,56100.0,56100.0,Medium,0.0,undergraduate,Education,Other
Government,,,,,postgraduate,Government Admin,Academic
Government,34125.0,34125.0,Medium,0.0,undergraduate,Government General,Other
Government,105000.0,105000.0,High,0.0,undergraduate,PSU,Officer
Government,90000.0,90000.0,High,0.0,undergraduate,Government General,Officer
Government,35400.0,47600.0,Medium,12200.0,undergraduate,Judiciary,Assistant
Government,,,,,undergraduate,Banking,Officer
Government,44900.0,142400.0,Medium,97500.0,undergraduate,Government Admin,Officer
Government,,,,,postgraduate,Government General,Academic
Government,,,,,undergraduate,Government General,Engineer
Government,15000.0,15000.0,Low,0.0,undergraduate,Banking,Entry Level
Government,,,,,undergraduate,Government General,Engineer
Government,90000.0,240000.0,High,150000.0,undergraduate,Government General,Managerial
Government,37000.0,37000.0,Medium,0.0,postgraduate,Technical/Research,Research
Government,20833.33333333333,20833.33333333333,Low,0.0,postgraduate,Government General,Other
Government,25000.0,25000.0,Low,0.0,postgraduate,Government General,Entry Level
Government,156500.0,173860.0,Very High,17360.0,undergraduate,Banking,Officer
Government,40000.0,140000.0,Medium,100000.0,postgraduate,Government General,Managerial
Government,15600.0,15600.0,Low,0.0,postgraduate,Government Admin,Managerial
Government,37000.0,37000.0,Medium,0.0,undergraduate,Education,Research
Government,47600.0,151100.0,Medium,103500.0,undergraduate,Government General,Other
Government,,,,,undergraduate,Government Admin,Other
Government,12000.0,12000.0,Low,0.0,undergraduate,Education,Assistant
Government,1600.0,1750.0,Low,150.0,postgraduate,Education,Other
Government,80000.0,100000.0,High,20000.0,undergraduate,Government General,Other
Government,51300.0,73000.0,Medium,21700.0,undergraduate,PSU,Managerial
Government,56100.0,177500.0,Medium,121400.0,undergraduate,Government General,Managerial
Government,40000.0,200000.0,Medium,160000.0,undergraduate,Government General,Managerial
Government,11000.0,11000.0,Low,0.0,undergraduate,Government General,Assistant
Government,25000.0,31000.0,Low,6000.0,undergraduate,Education,Associate
Government,80000.0,220000.0,High,140000.0,postgraduate,Government General,Managerial
